	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
SNP6960	12	130316844	0.44	0.470588	0.376238	0.308458	0.39521	0.454545	0.467766	0.468106	0.443256	0.445528	0.442331	0.439156	0.437998	0.439031	0.43993
SNP6961	12	130972420	0.72	0.627451	0.594059	0.552239	0.473054	0.470529	0.495752	0.4999	0.510949	0.521324	0.51609	0.508365	0.484558	0.469849	0.469625
SNP6962	12	131034897	0.36	0.392157	0.326733	0.353234	0.409182	0.400599	0.417791	0.410918	0.416958	0.438178	0.449791	0.465315	0.484683	0.474715	0.474565
SNP6963	12	131179830	0.68	0.647059	0.594059	0.557214	0.518962	0.516484	0.513743	0.491102	0.485751	0.505875	0.51131	0.491065	0.483753	0.476129	0.474796
SNP6964	12	131209490	0.36	0.411765	0.366337	0.373134	0.399202	0.411588	0.391304	0.381924	0.40346	0.453877	0.47717	0.484655	0.481063	0.471679	0.476881
SNP6965	12	131437041	0.44	0.45098	0.445545	0.477612	0.48503	0.480519	0.471764	0.488302	0.50475	0.469177	0.449471	0.457495	0.483268	0.481821	0.492471
SNP6966	12	131808777	0.44	0.392157	0.415842	0.477612	0.439122	0.412587	0.369815	0.394521	0.40276	0.454227	0.48523	0.506435	0.517117	0.504035	0.496794
SNP6967	12	131952739	0.32	0.352941	0.346535	0.41791	0.499002	0.519481	0.516742	0.533493	0.50205	0.499175	0.49609	0.495125	0.502722	0.510201	0.511397
SNP6968	12	132056370	0.44	0.372549	0.336634	0.38806	0.451098	0.505495	0.537231	0.533493	0.523848	0.507375	0.51125	0.507225	0.505182	0.498631	0.507086
SNP6969	12	132277399	0.52	0.411765	0.50495	0.477612	0.449102	0.491508	0.482259	0.473305	0.49825	0.510024	0.48375	0.506435	0.502337	0.510061	0.512372
SNP6970	12	132332384	0.48	0.568627	0.613861	0.606965	0.548902	0.536464	0.562219	0.583483	0.608539	0.60217	0.586668	0.546315	0.535652	0.506799	0.515159
SNP6971	13	19081795	0.32	0.392157	0.435644	0.427861	0.377246	0.373626	0.377311	0.379724	0.39786	0.39603	0.391332	0.371566	0.374381	0.401341	0.410733
SNP6972	13	19305140	0.4	0.509804	0.485149	0.442786	0.459082	0.431568	0.368316	0.386923	0.40196	0.414879	0.438571	0.437396	0.430118	0.413133	0.41954
SNP6973	13	19559201	0.48	0.490196	0.465347	0.383085	0.40519	0.427572	0.441279	0.429714	0.419958	0.442078	0.447971	0.443056	0.432773	0.433351	0.415436
SNP6974	13	19851707	0.48	0.45098	0.455446	0.402985	0.39521	0.38961	0.392804	0.376725	0.39826	0.39088	0.373533	0.380816	0.399438	0.413813	0.414711
SNP6975	13	20030852	0.32	0.313725	0.326733	0.368159	0.303393	0.365634	0.364318	0.363127	0.380662	0.374831	0.377112	0.393196	0.398358	0.401993	0.419707
SNP6976	13	20134980	0.72	0.745098	0.712871	0.681592	0.654691	0.655345	0.662169	0.532893	0.480652	0.421579	0.409232	0.415196	0.410608	0.410615	0.413807
SNP6977	13	20280420	0.4	0.294118	0.29703	0.298507	0.297405	0.304695	0.345327	0.329534	0.335766	0.338283	0.360373	0.394306	0.419098	0.417859	0.411748
SNP6978	13	20327345	0.56	0.568627	0.584158	0.512438	0.518962	0.483516	0.421289	0.438912	0.441356	0.432678	0.423572	0.423616	0.420328	0.418909	0.413955
SNP6979	13	20649536	0.56	0.392157	0.29703	0.328358	0.313373	0.335664	0.397301	0.380524	0.388361	0.373281	0.373113	0.395906	0.410698	0.423729	0.429657
SNP6980	13	20908586	0.56	0.411765	0.465347	0.477612	0.53493	0.493506	0.450275	0.445111	0.424158	0.442778	0.440091	0.440386	0.451153	0.444987	0.424344
SNP6981	13	21153961	0.4	0.45098	0.475248	0.477612	0.431138	0.435564	0.417791	0.403319	0.375562	0.374081	0.396232	0.401976	0.409998	0.425627	0.432619
SNP6982	13	21932255	0.44	0.392157	0.435644	0.427861	0.43513	0.438561	0.456772	0.485303	0.481052	0.478376	0.459831	0.442886	0.420663	0.416459	0.423208
SNP6983	13	22564696	0.24	0.215686	0.19802	0.278607	0.327345	0.350649	0.363818	0.392921	0.39946	0.424829	0.439691	0.413136	0.427168	0.419409	0.405455
SNP6984	13	22872199	0.6	0.607843	0.613861	0.517413	0.437126	0.396603	0.394303	0.380924	0.371463	0.378681	0.388872	0.384916	0.394538	0.391465	0.397209
SNP6985	13	23188841	0.4	0.333333	0.346535	0.308458	0.381238	0.348651	0.342829	0.340732	0.355364	0.349633	0.363593	0.378596	0.377623	0.379373	0.393394
SNP6986	13	23212045	0.32	0.333333	0.346535	0.348259	0.337325	0.301698	0.328336	0.363727	0.385661	0.39283	0.377672	0.380916	0.379288	0.380459	0.39305
SNP6987	13	23408012	0.2	0.254902	0.277228	0.293532	0.287425	0.280719	0.297351	0.327335	0.378262	0.377381	0.384732	0.389416	0.393453	0.399783	0.392335
SNP6988	13	23864170	0.4	0.411765	0.485149	0.457711	0.431138	0.391608	0.395802	0.387323	0.40246	0.40028	0.390272	0.390686	0.392548	0.404819	0.410272
SNP6989	13	23956563	0.28	0.313725	0.277228	0.273632	0.351297	0.368631	0.367816	0.402519	0.428257	0.439628	0.421312	0.413736	0.410063	0.406701	0.410402
SNP6990	13	24222501	0.24	0.215686	0.217822	0.273632	0.307385	0.318681	0.345827	0.35193	0.372763	0.39753	0.401132	0.410496	0.417498	0.413483	0.413951
SNP6991	13	24353052	0.28	0.392157	0.415842	0.422886	0.379242	0.385614	0.401799	0.403119	0.392261	0.40168	0.409172	0.401326	0.409473	0.413909	0.419584
SNP6992	13	24753973	0.36	0.352941	0.346535	0.348259	0.351297	0.342657	0.346327	0.379524	0.394561	0.39643	0.419912	0.436106	0.438543	0.440815	0.429425
SNP6993	13	24927920	0.36	0.372549	0.415842	0.442786	0.451098	0.424575	0.389305	0.467906	0.489251	0.481976	0.452971	0.457765	0.444228	0.432471	0.431134
SNP6994	13	25203388	0.28	0.45098	0.475248	0.512438	0.471058	0.460539	0.452774	0.493901	0.477252	0.477826	0.469951	0.445576	0.443778	0.424159	0.427935
SNP6995	13	25446251	0.6	0.45098	0.455446	0.527363	0.461078	0.450549	0.428286	0.415517	0.40146	0.388581	0.397512	0.393796	0.395998	0.422849	0.41939
SNP6996	13	25777948	0.36	0.333333	0.346535	0.393035	0.461078	0.455544	0.503748	0.492901	0.476152	0.473926	0.455571	0.433856	0.421163	0.417767	0.41359
SNP6997	13	26018306	0.28	0.294118	0.326733	0.412935	0.343313	0.343656	0.363818	0.388922	0.39846	0.40588	0.430431	0.431806	0.424928	0.410665	0.415153
SNP6998	13	26428141	0.36	0.392157	0.376238	0.393035	0.397206	0.397602	0.405297	0.413917	0.422658	0.426179	0.422752	0.415136	0.421298	0.417113	0.412513
SNP6999	13	26680125	0.32	0.392157	0.346535	0.348259	0.377246	0.395604	0.375812	0.416517	0.420858	0.425379	0.406292	0.406396	0.418628	0.411699	0.409964
SNP7000	13	26939158	0.32	0.333333	0.326733	0.363184	0.351297	0.321678	0.314343	0.340732	0.358064	0.359382	0.363793	0.369306	0.380618	0.402133	0.416531
SNP7001	13	27115591	0.36	0.294118	0.336634	0.378109	0.45509	0.454545	0.447276	0.442711	0.422958	0.424779	0.428531	0.422186	0.422953	0.411377	0.422068
SNP7002	13	27495523	0.56	0.509804	0.475248	0.497512	0.483034	0.521479	0.523738	0.503299	0.466353	0.452977	0.459751	0.465375	0.460383	0.438497	0.434178
SNP7003	13	27596098	0.52	0.45098	0.485149	0.547264	0.451098	0.437562	0.476762	0.471906	0.481952	0.454977	0.461251	0.454555	0.442343	0.436337	0.434177
SNP7004	13	27619194	0.52	0.490196	0.534653	0.517413	0.506986	0.511489	0.48076	0.461708	0.470853	0.470826	0.442731	0.432266	0.435603	0.436423	0.434617
SNP7005	13	27802551	0.36	0.411765	0.326733	0.298507	0.345309	0.353646	0.365817	0.403919	0.391361	0.39973	0.417932	0.427656	0.424613	0.433965	0.430356
SNP7006	13	28003457	0.28	0.294118	0.326733	0.40796	0.451098	0.451548	0.43928	0.427315	0.457554	0.450777	0.445651	0.445426	0.449468	0.426655	0.430978
SNP7007	13	28210282	0.32	0.372549	0.336634	0.383085	0.343313	0.31968	0.331334	0.366727	0.375262	0.380031	0.401992	0.393666	0.393078	0.423409	0.432069
SNP7008	13	28659788	0.36	0.313725	0.326733	0.343284	0.377246	0.37962	0.4003	0.380324	0.40006	0.426579	0.428451	0.428486	0.426268	0.420621	0.421184
SNP7009	13	29018283	0.36	0.411765	0.415842	0.442786	0.423154	0.400599	0.369815	0.367327	0.388861	0.415429	0.398672	0.402916	0.412963	0.408849	0.41633
SNP7010	13	29214228	0.6	0.529412	0.455446	0.447761	0.441118	0.382617	0.376812	0.40132	0.410359	0.39933	0.411372	0.410816	0.419298	0.417265	0.406654
SNP7011	13	29658933	0.72	0.627451	0.594059	0.492537	0.500998	0.453546	0.404798	0.396721	0.394061	0.39233	0.394232	0.397156	0.400108	0.400275	0.414953
SNP7012	13	29950255	0.28	0.27451	0.227723	0.253731	0.333333	0.345654	0.328336	0.353529	0.40106	0.422879	0.421432	0.413156	0.414078	0.424511	0.41211
SNP7013	13	30282339	0.56	0.509804	0.49505	0.507463	0.542914	0.54046	0.497251	0.471506	0.473553	0.442028	0.436691	0.430446	0.402998	0.426271	0.42648
SNP7014	13	30428605	0.64	0.568627	0.613861	0.497512	0.47505	0.450549	0.401799	0.405519	0.438956	0.413579	0.398812	0.394656	0.400568	0.415489	0.425094
SNP7015	13	30679441	0.24	0.392157	0.415842	0.462687	0.463074	0.447552	0.434783	0.425115	0.439956	0.461877	0.451971	0.453965	0.447033	0.427241	0.421335
SNP7016	13	30722802	0.56	0.529412	0.524752	0.527363	0.532934	0.522478	0.498251	0.495101	0.477952	0.499625	0.48287	0.462635	0.431598	0.430173	0.421106
SNP7017	13	30932474	0.6	0.607843	0.544554	0.472637	0.449102	0.40959	0.418291	0.456309	0.456054	0.448678	0.444631	0.436926	0.427888	0.426713	0.431828
SNP7018	13	31269239	0.6	0.490196	0.524752	0.512438	0.437126	0.43956	0.402799	0.411518	0.440356	0.441578	0.444131	0.435236	0.429783	0.435371	0.429791
SNP7019	13	31687633	0.44	0.313725	0.336634	0.348259	0.351297	0.35964	0.356322	0.428314	0.454655	0.463077	0.454511	0.429166	0.441768	0.429041	0.423897
SNP7020	13	31756899	0.4	0.470588	0.485149	0.482587	0.502994	0.561439	0.555222	0.506299	0.471253	0.459827	0.448171	0.419946	0.424253	0.424271	0.422498
SNP7021	13	31923087	0.28	0.27451	0.257426	0.258706	0.373253	0.425574	0.424288	0.433713	0.435056	0.449178	0.429531	0.423126	0.410608	0.408141	0.411518
SNP7022	13	32051550	0.24	0.235294	0.237624	0.248756	0.295409	0.338661	0.349325	0.388522	0.383362	0.374731	0.373553	0.384986	0.388183	0.396879	0.406135
SNP7023	13	32391303	0.44	0.372549	0.316832	0.313433	0.279441	0.294705	0.335332	0.337732	0.353165	0.384831	0.392592	0.397716	0.392968	0.393313	0.39414
SNP7024	13	32641248	0.52	0.509804	0.485149	0.477612	0.431138	0.407592	0.404798	0.40132	0.390061	0.383131	0.387612	0.388696	0.390243	0.394433	0.392747
SNP7025	13	32793881	0.52	0.490196	0.524752	0.522388	0.499002	0.456543	0.431784	0.424915	0.419558	0.412829	0.398592	0.393336	0.394178	0.394745	0.390849
SNP7026	13	33023396	0.16	0.235294	0.316832	0.313433	0.335329	0.338661	0.337331	0.383323	0.393061	0.40228	0.416232	0.410556	0.398368	0.392195	0.392177
SNP7027	13	33520618	0.52	0.45098	0.376238	0.373134	0.413174	0.425574	0.412294	0.430114	0.420658	0.434278	0.417432	0.415056	0.415668	0.403497	0.398248
SNP7028	13	34532915	0.44	0.509804	0.524752	0.487562	0.403194	0.427572	0.434283	0.415917	0.394561	0.39278	0.378532	0.384676	0.385128	0.383125	0.384456
SNP7029	13	34844990	0.44	0.352941	0.386139	0.378109	0.345309	0.370629	0.367816	0.358528	0.384662	0.379031	0.380932	0.378386	0.386148	0.387023	0.386685
SNP7030	13	35181244	0.36	0.352941	0.39604	0.412935	0.427146	0.444555	0.46027	0.434513	0.408559	0.40498	0.404352	0.401936	0.397993	0.392281	0.382409
SNP7031	13	35339874	0.2	0.235294	0.247525	0.278607	0.325349	0.363636	0.357321	0.389322	0.393161	0.374181	0.383212	0.385416	0.385963	0.387403	0.375478
SNP7032	13	35700755	0.28	0.411765	0.405941	0.402985	0.409182	0.407592	0.378311	0.35093	0.331767	0.324384	0.339633	0.337677	0.332708	0.348843	0.360435
SNP7033	13	35937426	0.36	0.411765	0.39604	0.393035	0.403194	0.373626	0.352824	0.333133	0.326967	0.350282	0.339633	0.346167	0.345648	0.348111	0.366354
SNP7034	13	36398127	0.4	0.372549	0.376238	0.467662	0.469062	0.456543	0.472264	0.454709	0.410459	0.412229	0.401672	0.402906	0.408718	0.403333	0.386383
SNP7035	13	36577897	0.32	0.372549	0.356436	0.288557	0.273453	0.300699	0.36082	0.370326	0.383562	0.39023	0.398172	0.398846	0.403628	0.397059	0.393816
SNP7036	13	36879922	0.44	0.411765	0.366337	0.373134	0.351297	0.375624	0.373813	0.326535	0.345165	0.380681	0.388012	0.390286	0.388758	0.388491	0.394348
SNP7037	13	37133192	0.64	0.588235	0.564356	0.502488	0.40519	0.398601	0.389805	0.405119	0.40156	0.39858	0.385552	0.385596	0.385283	0.394287	0.391242
SNP7038	13	37458704	0.48	0.431373	0.356436	0.368159	0.397206	0.421578	0.406797	0.430314	0.427157	0.39863	0.401612	0.410206	0.402083	0.396091	0.388036
SNP7039	13	37961229	0.36	0.45098	0.39604	0.422886	0.381238	0.372627	0.390805	0.414917	0.39786	0.413379	0.384372	0.374646	0.371558	0.368227	0.369044
SNP7040	13	38377993	0.48	0.431373	0.49505	0.432836	0.389222	0.375624	0.352324	0.333333	0.343266	0.335683	0.348213	0.349067	0.350128	0.352943	0.359274
SNP7041	13	38479074	0.4	0.352941	0.425743	0.40796	0.391218	0.356643	0.387306	0.382723	0.362264	0.352582	0.356593	0.357696	0.358283	0.355629	0.357529
SNP7042	13	38531841	0.28	0.294118	0.267327	0.243781	0.269461	0.27972	0.291354	0.322136	0.338366	0.348083	0.367833	0.357876	0.355613	0.355211	0.356614
SNP7043	13	38870220	0.36	0.294118	0.257426	0.253731	0.287425	0.297702	0.317341	0.315937	0.331467	0.355832	0.360133	0.357346	0.357588	0.358989	0.361622
SNP7044	13	39115761	0.36	0.352941	0.29703	0.278607	0.321357	0.372627	0.372314	0.370526	0.380862	0.359632	0.363193	0.360586	0.360358	0.363603	0.368133
SNP7045	13	39477743	0.16	0.235294	0.336634	0.288557	0.365269	0.423576	0.370315	0.410518	0.409859	0.40393	0.387752	0.380706	0.380933	0.381269	0.37782
SNP7046	13	39877674	0.52	0.529412	0.49505	0.487562	0.439122	0.421578	0.423288	0.369126	0.358864	0.389281	0.384312	0.386306	0.391343	0.387381	0.381664
SNP7047	13	40388575	0.24	0.392157	0.306931	0.308458	0.351297	0.335664	0.373813	0.389322	0.411459	0.39833	0.387132	0.394206	0.381088	0.381829	0.395156
SNP7048	13	40536476	0.44	0.411765	0.366337	0.402985	0.397206	0.365634	0.366317	0.364527	0.387761	0.40323	0.394612	0.390336	0.391818	0.399791	0.401093
SNP7049	13	40890440	0.44	0.45098	0.445545	0.467662	0.50499	0.505495	0.504748	0.467307	0.447755	0.415779	0.415172	0.427106	0.425263	0.429855	0.419349
SNP7050	13	41001560	0.36	0.254902	0.287129	0.303483	0.333333	0.373626	0.403298	0.44771	0.438956	0.424679	0.422672	0.431286	0.437168	0.427303	0.420658
SNP7051	13	41331883	0.28	0.372549	0.465347	0.477612	0.502994	0.464535	0.4003	0.385523	0.379762	0.376831	0.403752	0.421806	0.421183	0.412459	0.414785
SNP7052	13	41626664	0.36	0.333333	0.336634	0.363184	0.343313	0.360639	0.367316	0.377524	0.406559	0.426029	0.402932	0.391876	0.398243	0.400215	0.409994
SNP7053	13	41783423	0.52	0.490196	0.376238	0.363184	0.345309	0.336663	0.323838	0.35073	0.39556	0.40443	0.401752	0.398886	0.404083	0.398755	0.403945
SNP7054	13	42010254	0.36	0.313725	0.425743	0.422886	0.489022	0.47952	0.445777	0.463707	0.454555	0.444828	0.443211	0.418076	0.414328	0.406851	0.393161
SNP7055	13	42374158	0.32	0.333333	0.356436	0.393035	0.347305	0.35964	0.371314	0.34793	0.355564	0.350332	0.357913	0.360216	0.364193	0.382753	0.389154
SNP7056	13	42432970	0.24	0.333333	0.29703	0.323383	0.387226	0.410589	0.381809	0.35113	0.359664	0.365682	0.373253	0.369736	0.367273	0.378637	0.389212
SNP7057	13	42650441	0.2	0.27451	0.326733	0.348259	0.345309	0.326673	0.336832	0.347131	0.357664	0.357882	0.372573	0.397746	0.395578	0.382465	0.38495
SNP7058	13	42800136	0.36	0.411765	0.376238	0.343284	0.315369	0.388611	0.417791	0.388922	0.362464	0.369282	0.370753	0.375766	0.373668	0.389999	0.388928
SNP7059	13	42904853	0.48	0.470588	0.435644	0.432836	0.451098	0.407592	0.406797	0.396121	0.421758	0.39348	0.391972	0.383916	0.392713	0.390865	0.392654
SNP7060	13	43283016	0.4	0.333333	0.346535	0.402985	0.37525	0.378621	0.351324	0.368726	0.375562	0.381681	0.381772	0.390396	0.399168	0.399843	0.398757
SNP7061	13	43660429	0.4	0.45098	0.336634	0.353234	0.345309	0.32967	0.348826	0.35193	0.364864	0.358132	0.360933	0.392106	0.402103	0.402331	0.397809
SNP7062	13	44124882	0.36	0.313725	0.336634	0.358209	0.371257	0.371628	0.37931	0.386523	0.391761	0.39693	0.380252	0.380296	0.375548	0.388087	0.391806
SNP7063	13	44639158	0.56	0.54902	0.554455	0.557214	0.506986	0.46953	0.445777	0.431514	0.412159	0.385331	0.387232	0.394286	0.409633	0.405379	0.401576
SNP7064	13	44834455	0.52	0.45098	0.465347	0.427861	0.431138	0.42957	0.424288	0.430314	0.436156	0.446628	0.443131	0.437926	0.428118	0.418411	0.410536
SNP7065	13	45057147	0.2	0.215686	0.237624	0.258706	0.265469	0.321678	0.369815	0.372126	0.353265	0.358632	0.378392	0.381226	0.404693	0.420071	0.419188
SNP7066	13	45067620	0.44	0.411765	0.405941	0.412935	0.42515	0.413586	0.414293	0.382923	0.375962	0.368582	0.373273	0.373426	0.403913	0.419877	0.41975
SNP7067	13	45288308	0.64	0.509804	0.564356	0.507463	0.49501	0.478521	0.454773	0.427914	0.425357	0.413329	0.430451	0.432646	0.429478	0.417861	0.419808
SNP7068	13	45526211	0.36	0.372549	0.346535	0.353234	0.427146	0.398601	0.376812	0.376725	0.39706	0.374431	0.388012	0.412176	0.417423	0.420407	0.41938
SNP7069	13	45655322	0.36	0.333333	0.39604	0.393035	0.357285	0.37962	0.426287	0.439312	0.436056	0.433828	0.433091	0.435586	0.414728	0.416021	0.423913
SNP7070	13	45879590	0.44	0.411765	0.415842	0.447761	0.413174	0.468531	0.44028	0.440112	0.447355	0.469027	0.457371	0.441446	0.435498	0.422363	0.424732
SNP7071	13	46170287	0.56	0.470588	0.435644	0.457711	0.419162	0.43956	0.397801	0.412517	0.423558	0.456927	0.442991	0.434966	0.424793	0.432695	0.417237
SNP7072	13	46273555	0.28	0.235294	0.247525	0.288557	0.265469	0.264735	0.278861	0.335133	0.379962	0.411129	0.426151	0.425936	0.430183	0.428709	0.417007
SNP7073	13	46623483	0.24	0.27451	0.267327	0.298507	0.323353	0.373626	0.386807	0.34853	0.364664	0.352232	0.356853	0.364786	0.371283	0.394943	0.407647
SNP7074	13	47268469	0.52	0.568627	0.564356	0.507463	0.397206	0.371628	0.4008	0.407319	0.39846	0.389631	0.388992	0.387336	0.388848	0.397913	0.391911
SNP7075	13	47864016	0.48	0.490196	0.465347	0.373134	0.383234	0.401598	0.365817	0.388522	0.379262	0.370731	0.378252	0.379816	0.373708	0.376083	0.383313
SNP7076	13	48028157	0.32	0.27451	0.336634	0.313433	0.299401	0.353646	0.348826	0.375325	0.370763	0.383531	0.378712	0.383446	0.376098	0.381129	0.386018
SNP7077	13	48379142	0.28	0.313725	0.366337	0.393035	0.427146	0.377622	0.366817	0.360328	0.381762	0.39328	0.404432	0.403806	0.408033	0.399015	0.394283
SNP7078	13	48725303	0.56	0.568627	0.534653	0.497512	0.518962	0.470529	0.46077	0.435513	0.433057	0.433878	0.414852	0.412736	0.406953	0.393719	0.397693
SNP7079	13	48829164	0.68	0.470588	0.475248	0.547264	0.469062	0.431568	0.389305	0.362128	0.368463	0.364232	0.377532	0.392196	0.392958	0.391845	0.397038
SNP7080	13	49020219	0.6	0.568627	0.534653	0.522388	0.439122	0.412587	0.409795	0.39912	0.366863	0.358082	0.378312	0.372986	0.375918	0.391043	0.396701
SNP7081	13	49093743	0.44	0.333333	0.326733	0.363184	0.361277	0.365634	0.366817	0.377924	0.376062	0.359732	0.402732	0.393956	0.397433	0.391855	0.396121
SNP7082	13	49284413	0.44	0.45098	0.435644	0.41791	0.383234	0.371628	0.38031	0.403119	0.393361	0.367132	0.384512	0.397116	0.405923	0.402671	0.388649
SNP7083	13	49476960	0.28	0.313725	0.336634	0.343284	0.353293	0.338661	0.309345	0.35053	0.383762	0.387331	0.402832	0.402226	0.395648	0.388801	0.394315
SNP7084	13	49625807	0.32	0.352941	0.366337	0.393035	0.355289	0.351648	0.381309	0.406119	0.39596	0.39323	0.373533	0.368956	0.371718	0.389641	0.394744
SNP7085	13	50049317	0.56	0.509804	0.455446	0.502488	0.427146	0.416583	0.391804	0.388122	0.382662	0.375431	0.385492	0.390536	0.394393	0.410101	0.403833
SNP7086	13	50441057	0.4	0.392157	0.465347	0.40796	0.355289	0.397602	0.425787	0.432114	0.430157	0.428279	0.426071	0.429506	0.422273	0.411063	0.406875
SNP7087	13	50527479	0.52	0.431373	0.405941	0.437811	0.463074	0.434565	0.46027	0.45071	0.432557	0.411429	0.413732	0.416706	0.408593	0.405527	0.408852
SNP7088	13	50875725	0.32	0.27451	0.336634	0.393035	0.367265	0.411588	0.35932	0.345531	0.361264	0.374431	0.380472	0.391886	0.396783	0.393631	0.401327
SNP7089	13	51178496	0.44	0.490196	0.405941	0.383085	0.377246	0.432567	0.433283	0.411118	0.388561	0.415029	0.402972	0.397446	0.397923	0.396821	0.400118
SNP7090	13	51447869	0.2	0.27451	0.287129	0.343284	0.359281	0.36963	0.33933	0.356929	0.371563	0.374281	0.374653	0.390996	0.387573	0.405199	0.407383
SNP7091	13	51648100	0.24	0.294118	0.306931	0.378109	0.389222	0.378621	0.393803	0.419116	0.457654	0.455577	0.433511	0.431726	0.431768	0.417803	0.406373
SNP7092	13	51991126	0.36	0.352941	0.336634	0.303483	0.311377	0.323676	0.363818	0.34993	0.352465	0.351682	0.351913	0.367716	0.385868	0.404965	0.414377
SNP7093	13	52298499	0.6	0.568627	0.544554	0.517413	0.41517	0.403596	0.391804	0.380724	0.388961	0.40688	0.394832	0.405416	0.418643	0.422461	0.416026
SNP7094	13	52403234	0.28	0.27451	0.306931	0.368159	0.363273	0.3996	0.43928	0.468306	0.464954	0.465927	0.458431	0.452945	0.447628	0.426613	0.411192
SNP7095	13	52507470	0.4	0.45098	0.455446	0.467662	0.43513	0.45954	0.47976	0.479504	0.484952	0.480126	0.470371	0.454345	0.442538	0.427917	0.415793
SNP7096	13	52885277	0.32	0.411765	0.386139	0.393035	0.381238	0.44955	0.436282	0.434713	0.426057	0.424729	0.402352	0.401266	0.406638	0.405519	0.41622
SNP7097	13	52997670	0.2	0.215686	0.29703	0.368159	0.317365	0.367632	0.372314	0.383523	0.390561	0.387181	0.400772	0.414046	0.406908	0.403723	0.415922
SNP7098	13	53429331	0.52	0.529412	0.50495	0.472637	0.471058	0.435564	0.434783	0.437712	0.458154	0.495875	0.451991	0.444286	0.446393	0.423331	0.413427
SNP7099	13	54161748	0.36	0.372549	0.336634	0.343284	0.341317	0.366633	0.374313	0.360528	0.347865	0.357632	0.360933	0.359366	0.354703	0.364941	0.371001
SNP7100	13	54867402	0.28	0.27451	0.29703	0.278607	0.287425	0.300699	0.293353	0.323135	0.341466	0.358782	0.376292	0.362916	0.355983	0.356631	0.35665
SNP7101	13	55428348	0.44	0.411765	0.405941	0.442786	0.393214	0.433566	0.394803	0.366927	0.364064	0.350082	0.346853	0.352466	0.361938	0.360085	0.35328
SNP7102	13	55927611	0.4	0.392157	0.405941	0.373134	0.351297	0.355644	0.377811	0.345931	0.311469	0.320484	0.331253	0.327707	0.340563	0.340633	0.344163
SNP7103	13	56521609	0.6	0.588235	0.584158	0.572139	0.469062	0.442557	0.467266	0.383723	0.373263	0.356282	0.342113	0.332667	0.350113	0.340257	0.342357
SNP7104	13	57236772	0.36	0.431373	0.366337	0.378109	0.357285	0.390609	0.358321	0.340532	0.381862	0.344983	0.337913	0.338487	0.337558	0.337927	0.342012
SNP7105	13	57685545	0.28	0.254902	0.306931	0.338308	0.361277	0.331668	0.353823	0.320736	0.330267	0.334533	0.330593	0.368026	0.366928	0.350541	0.345203
SNP7106	13	58252366	0.44	0.490196	0.366337	0.348259	0.339321	0.350649	0.322339	0.323535	0.342566	0.332533	0.323634	0.337867	0.339208	0.344511	0.341759
SNP7107	13	58845643	0.04	0.137255	0.168317	0.21393	0.241517	0.260739	0.273863	0.292142	0.331267	0.347233	0.350793	0.354696	0.352988	0.348669	0.349382
SNP7108	13	59165361	0.44	0.411765	0.376238	0.427861	0.369261	0.373626	0.385807	0.372725	0.367663	0.356332	0.355933	0.350566	0.356603	0.353317	0.354969
SNP7109	13	59447925	0.32	0.470588	0.425743	0.477612	0.46507	0.428571	0.409795	0.364127	0.359064	0.346533	0.353693	0.357976	0.358238	0.360631	0.363426
SNP7110	13	59634995	0.32	0.313725	0.29703	0.323383	0.351297	0.387612	0.385807	0.368926	0.374863	0.369232	0.373413	0.368806	0.366468	0.369415	0.371755
SNP7111	13	60223145	0.48	0.45098	0.366337	0.353234	0.403194	0.438561	0.375312	0.407119	0.420158	0.419129	0.410252	0.389706	0.382868	0.379131	0.374711
SNP7112	13	60796644	0.32	0.313725	0.346535	0.343284	0.307385	0.343656	0.389805	0.40172	0.40376	0.39763	0.386372	0.384526	0.389088	0.374065	0.372051
SNP7113	13	61009880	0.36	0.352941	0.39604	0.383085	0.363273	0.368631	0.358821	0.360728	0.338666	0.331083	0.343313	0.364736	0.371493	0.383173	0.376082
SNP7114	13	61563305	0.36	0.352941	0.316832	0.278607	0.279441	0.340659	0.330335	0.389322	0.369463	0.359532	0.366033	0.362656	0.360793	0.367067	0.367853
SNP7115	13	62001912	0.24	0.196078	0.277228	0.293532	0.313373	0.330669	0.348326	0.322935	0.331967	0.335733	0.348133	0.340057	0.348868	0.352885	0.353743
SNP7116	13	62796213	0.28	0.176471	0.257426	0.298507	0.291417	0.300699	0.32084	0.346731	0.334967	0.343283	0.347293	0.342757	0.353188	0.346631	0.342365
SNP7117	13	63496695	0.2	0.215686	0.227723	0.243781	0.249501	0.256743	0.256872	0.280144	0.328467	0.338533	0.330913	0.337077	0.337628	0.333085	0.336964
SNP7118	13	63786094	0.72	0.607843	0.584158	0.457711	0.43513	0.371628	0.352824	0.39892	0.414859	0.381031	0.356393	0.350886	0.346428	0.341827	0.340623
SNP7119	13	64265895	0.36	0.431373	0.346535	0.378109	0.315369	0.27972	0.294353	0.354729	0.353365	0.360532	0.337253	0.347847	0.349788	0.350901	0.347104
SNP7120	13	64727023	0.24	0.313725	0.326733	0.318408	0.343313	0.34965	0.334333	0.311538	0.309569	0.315584	0.336553	0.336157	0.345413	0.339833	0.343098
